HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,SWP_SG,SV_POS,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z
a,523437,0.000,0.000,36.000,0.000,1.978,-0.004,-0.128,-0.428,0.181,9.876,0.256
a,523442,0.000,0.000,36.000,0.000,2.021,-0.004,0.056,-0.764,0.195,9.880,0.226
a,523445,0.000,0.000,36.000,0.000,1.978,-0.096,-0.051,0.946,0.170,9.902,0.231
a,523449,0.000,0.000,36.000,0.000,2.021,0.057,-0.067,-0.397,0.192,9.875,0.244
a,523453,0.000,0.000,36.000,0.000,2.021,0.011,-0.005,0.717,0.189,9.880,0.263
a,523457,0.000,0.000,36.000,0.000,2.065,0.225,0.193,0.107,0.164,9.901,0.268
a,523461,0.000,0.000,36.000,0.000,2.021,0.057,-0.402,-0.336,0.172,9.859,0.255
a,523466,0.000,0.000,36.000,0.000,1.978,0.042,0.086,-0.565,0.189,9.882,0.250
a,523469,0.000,0.000,36.000,0.000,1.978,-0.096,0.162,1.099,0.189,9.877,0.256
a,523474,0.000,0.000,36.000,0.000,1.978,-0.035,0.193,0.580,0.186,9.877,0.272
a,523478,0.000,0.000,36.000,0.000,1.978,0.148,0.147,-0.611,0.134,9.886,0.247
a,523481,0.000,0.000,36.000,0.000,2.021,0.057,0.208,0.107,0.170,9.901,0.238
a,523485,0.000,0.000,36.000,0.000,1.978,-0.096,-0.112,1.328,0.172,9.881,0.232
a,523489,0.000,0.000,36.000,0.000,1.978,-0.096,0.101,1.817,0.158,9.875,0.244
a,523493,0.000,0.000,36.000,0.000,2.021,-0.050,0.132,-1.664,0.199,9.908,0.242
a,523498,0.000,0.000,36.000,0.000,2.021,0.057,-0.143,-0.764,0.174,9.890,0.255
a,523502,0.000,0.000,36.000,0.000,2.065,-0.157,-0.021,-0.382,0.164,9.902,0.273
a,523505,0.000,0.000,36.000,0.000,2.021,0.057,-0.005,0.809,0.181,9.916,0.244
a,523509,0.000,0.000,36.000,0.000,2.021,0.057,-0.051,-0.000,0.158,9.872,0.238
a,523513,0.000,0.000,36.000,0.000,2.021,-0.050,0.147,-0.168,0.165,9.874,0.250
a,523517,0.000,0.000,36.000,0.000,2.021,-0.050,-0.005,-0.214,0.165,9.896,0.263
a,523521,0.000,0.000,36.000,0.000,2.021,-0.111,0.056,0.565,0.174,9.867,0.242
a,523525,0.000,0.000,36.000,0.000,1.978,0.179,-0.143,0.183,0.160,9.894,0.239
a,523529,0.000,0.000,36.000,0.000,1.934,0.072,-0.082,-0.321,0.201,9.871,0.242
a,523533,0.000,0.000,36.000,0.000,2.021,0.057,-0.021,-0.000,0.158,9.874,0.247
a,523538,0.000,0.000,36.000,0.000,2.065,0.057,-0.036,0.595,0.170,9.872,0.242
a,523541,0.000,0.000,36.000,0.000,2.065,-0.065,0.086,-0.871,0.158,9.887,0.272
a,523545,0.000,0.000,36.000,0.000,2.021,0.118,-0.235,0.168,0.168,9.898,0.260
a,523550,0.000,0.000,36.000,0.000,2.021,0.057,-0.021,-0.290,0.195,9.865,0.277
a,523553,0.000,0.000,36.000,0.000,1.978,0.164,-0.051,0.213,0.176,9.894,0.256
a,523557,0.000,0.000,36.000,0.000,1.978,-0.157,0.132,-1.558,0.165,9.894,0.278
a,523561,0.000,0.000,36.000,0.000,2.021,-0.218,0.086,0.183,0.207,9.872,0.238
a,523565,0.000,0.000,36.000,0.000,2.021,0.042,-0.189,-1.374,0.180,9.877,0.233
a,523569,0.000,0.000,36.000,0.000,1.978,0.118,-0.128,-0.229,0.168,9.906,0.272
a,523573,0.000,0.000,36.000,0.000,1.978,0.057,-0.097,0.381,0.170,9.886,0.244
a,523577,0.000,0.000,36.000,0.000,2.021,0.103,0.086,-0.672,0.176,9.910,0.237
a,523581,0.000,0.000,36.000,0.000,1.978,-0.004,-0.235,-0.977,0.194,9.881,0.250
a,523585,0.000,0.000,36.000,0.000,1.978,-0.126,-0.402,-0.764,0.195,9.876,0.236
a,523589,0.000,0.000,36.000,0.000,2.021,-0.248,-0.005,0.946,0.178,9.843,0.260
a,523593,0.000,0.000,36.000,0.000,2.021,0.026,-0.067,0.305,0.198,9.890,0.239
a,523598,0.000,0.000,36.000,0.000,2.021,-0.126,-0.128,-0.703,0.170,9.884,0.249
a,523601,0.000,0.000,36.000,0.000,2.021,0.026,0.147,0.626,0.168,9.868,0.285
a,523605,0.000,0.000,36.000,0.000,2.021,0.011,-0.021,0.229,0.188,9.893,0.266
a,523609,0.000,0.000,36.000,0.000,1.978,-0.172,-0.128,-0.703,0.178,9.895,0.256
a,523613,0.000,0.000,36.000,0.000,2.021,0.118,-0.112,0.656,0.195,9.892,0.241
a,523617,0.000,0.000,36.000,0.000,1.978,-0.203,0.071,-0.412,0.174,9.869,0.237
a,523621,0.000,0.000,36.000,0.000,1.978,-0.157,0.086,-0.214,0.180,9.892,0.262
a,523625,0.000,0.000,36.000,0.000,1.934,-0.233,0.254,-0.825,0.201,9.896,0.265
a,523630,0.000,0.000,36.000,0.000,2.065,-0.065,-0.021,-1.191,0.186,9.849,0.226
a,523634,0.000,0.000,36.000,0.000,1.934,-0.248,0.269,1.358,0.186,9.877,0.268
a,523637,0.000,0.000,36.000,0.000,1.978,-0.065,-0.021,-0.932,0.192,9.871,0.248
a,523641,0.000,0.000,36.000,0.000,1.978,-0.065,-0.067,-0.489,0.172,9.874,0.259
a,523645,0.000,0.000,36.000,0.000,1.978,0.011,0.544,0.488,0.181,9.846,0.250
a,523649,0.000,0.000,36.000,0.000,2.021,0.179,0.101,1.954,0.183,9.890,0.266
a,523654,0.000,0.000,36.000,0.000,2.021,0.057,0.040,0.061,0.157,9.852,0.273
a,523658,0.000,0.000,36.000,0.000,1.978,0.042,-0.128,-0.443,0.170,9.849,0.272
a,523661,0.000,0.000,36.000,0.000,2.021,0.042,-0.067,-1.435,0.183,9.877,0.253
a,523665,0.000,0.000,36.000,0.000,1.978,0.103,0.086,-1.588,0.165,9.859,0.266
a,523669,0.000,0.000,36.000,0.000,2.021,-0.111,-0.128,0.015,0.198,9.884,0.253
a,523674,0.000,0.000,36.000,0.000,1.978,-0.096,0.132,0.137,0.183,9.898,0.220
a,523678,0.000,0.000,36.000,0.000,2.021,0.148,0.040,-0.886,0.214,9.884,0.266
