HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z,SV_POS
a,198591,0.000,0.000,36.000,-0.072,0.006,-0.758,2.137,9.391,2.245,2.461
a,198594,0.000,0.000,36.000,0.126,-0.162,-0.315,2.144,9.372,2.239,2.021
a,198598,0.000,0.000,36.000,0.050,-0.117,0.143,2.119,9.408,2.221,2.109
a,198603,0.000,0.000,36.000,-0.057,-0.101,-0.025,2.103,9.384,2.247,2.021
a,198607,0.000,0.000,36.000,0.004,0.112,0.525,2.130,9.383,2.251,2.065
a,198610,0.000,0.000,36.000,-0.057,0.006,-0.101,2.122,9.383,2.248,2.461
a,198615,0.000,0.000,36.000,-0.270,0.051,0.968,2.130,9.374,2.212,2.065
a,198619,0.000,0.000,36.000,0.142,0.006,-1.475,2.121,9.370,2.247,2.021
a,198623,0.000,0.000,36.000,0.004,0.128,0.723,2.143,9.402,2.251,2.417
a,198627,0.000,0.000,36.000,-0.011,0.174,0.006,2.132,9.394,2.251,2.417
a,198631,0.000,0.000,36.000,0.111,-0.055,0.158,2.150,9.412,2.235,2.065
a,198635,0.000,0.000,36.000,0.126,-0.101,-0.590,2.132,9.370,2.239,2.373
a,198639,0.000,0.000,36.000,0.111,-0.040,0.769,2.127,9.372,2.243,2.461
a,198643,0.000,0.000,36.000,0.050,0.158,0.403,2.139,9.396,2.234,2.417
a,198646,0.000,0.000,36.000,-0.041,-0.269,1.502,2.131,9.378,2.218,2.065
a,198650,0.000,0.000,36.000,0.111,0.036,-0.101,2.133,9.386,2.206,2.021
a,198654,0.000,0.000,36.000,-0.011,0.051,0.067,2.137,9.398,2.239,2.065
a,198658,0.000,0.000,36.000,-0.057,0.036,-0.162,2.142,9.388,2.240,2.065
a,198662,0.000,0.000,36.000,0.157,-0.361,0.616,2.125,9.380,2.216,2.065
a,198666,0.000,0.000,36.000,0.111,0.097,-0.116,2.100,9.400,2.237,2.065
a,198670,0.000,0.000,36.000,-0.087,-0.101,-0.406,2.127,9.377,2.222,2.065
a,198674,0.000,0.000,36.000,0.020,-0.162,-0.406,2.119,9.383,2.248,2.065
a,198678,0.000,0.000,36.000,0.111,-0.162,-0.101,2.113,9.390,2.252,2.417
a,198682,0.000,0.000,36.000,0.004,-0.162,0.525,2.139,9.373,2.240,2.021
a,198686,0.000,0.000,36.000,0.004,0.006,0.220,2.097,9.352,2.251,2.417
a,198690,0.000,0.000,36.000,-0.041,-0.162,1.181,2.136,9.388,2.246,2.021
a,198694,0.000,0.000,36.000,0.050,-0.071,-0.071,2.151,9.376,2.246,2.065
a,198698,0.000,0.000,36.000,0.004,-0.284,0.296,2.133,9.367,2.234,2.021
a,198703,0.000,0.000,36.000,0.157,-0.071,0.021,2.130,9.378,2.249,2.109
a,198706,0.000,0.000,36.000,0.004,-0.178,0.342,2.114,9.391,2.221,2.065
a,198710,0.000,0.000,36.000,0.096,-0.055,0.311,2.112,9.409,2.247,2.109
a,198714,0.000,0.000,36.000,-0.011,-0.162,-0.635,2.116,9.397,2.248,2.065
a,198718,0.000,0.000,36.000,0.020,-0.101,1.197,2.145,9.378,2.246,2.417
a,198722,0.000,0.000,36.000,0.203,-0.055,-0.330,2.119,9.383,2.243,2.417
a,198726,0.000,0.000,36.000,0.004,-0.330,0.189,2.137,9.382,2.241,2.021
a,198730,0.000,0.000,36.000,-0.011,-0.147,0.861,2.127,9.377,2.245,2.065
a,198734,0.000,0.000,36.000,-0.240,0.204,0.784,2.119,9.371,2.228,2.065
a,198739,0.000,0.000,36.000,0.050,-0.208,0.540,2.149,9.392,2.257,2.417
a,198742,0.000,0.000,36.000,-0.087,-0.040,1.929,2.127,9.380,2.245,2.109
a,198746,0.000,0.000,36.000,-0.011,-0.101,-0.406,2.125,9.419,2.239,2.021
a,198750,0.000,0.000,36.000,-0.103,0.280,0.907,2.126,9.385,2.241,1.978
a,198754,0.000,0.000,36.000,0.050,0.265,0.067,2.103,9.391,2.234,2.417
a,198759,0.000,0.000,36.000,-0.057,-0.147,0.479,2.113,9.419,2.228,2.461
a,198763,0.000,0.000,36.000,0.203,-0.162,-0.544,2.138,9.376,2.254,2.065
a,198767,0.000,0.000,36.000,-0.225,0.204,-0.025,2.136,9.396,2.222,2.065
a,198770,0.000,0.000,36.000,0.142,-0.117,-1.032,2.145,9.400,2.246,2.021
a,198774,0.000,0.000,36.000,0.157,-0.071,0.189,2.114,9.376,2.241,2.021
a,198778,0.000,0.000,36.000,-0.011,-0.117,-0.406,2.121,9.364,2.234,2.065
a,198782,0.000,0.000,36.000,-0.118,-0.101,-0.574,2.137,9.366,2.237,2.065
a,198786,0.000,0.000,36.000,0.233,-0.208,1.441,2.126,9.370,2.253,2.109
a,198791,0.000,0.000,36.000,0.004,-0.117,-0.025,2.119,9.360,2.234,2.021
a,198794,0.000,0.000,36.000,0.279,0.189,0.494,2.127,9.409,2.251,2.065
a,198799,0.000,0.000,36.000,-0.087,-0.101,1.365,2.127,9.397,2.259,2.021
a,198802,0.000,0.000,36.000,0.065,-0.055,1.120,2.137,9.385,2.251,2.065
a,198806,0.000,0.000,36.000,-0.011,0.158,-1.032,2.137,9.406,2.246,2.065
a,198810,0.000,0.000,36.000,-0.057,0.021,0.723,2.113,9.376,2.241,2.065
a,198814,0.000,0.000,36.000,-0.118,0.219,-0.483,2.138,9.409,2.216,2.065
a,198818,0.000,0.000,36.000,-0.118,0.006,-0.040,2.144,9.376,2.212,2.065
a,198822,0.000,0.000,36.000,-0.057,-0.223,-0.132,2.133,9.382,2.224,2.021
a,198826,0.000,0.000,36.000,0.157,-0.284,0.189,2.130,9.382,2.227,2.065
a,198830,0.000,0.000,36.000,0.004,0.021,0.998,2.144,9.376,2.235,2.065
a,198834,0.000,0.000,36.000,0.004,-0.040,0.464,2.132,9.359,2.231,2.065
a,198838,0.000,0.000,36.000,-0.103,-0.178,0.143,2.151,9.385,2.240,2.065
a,198843,0.000,0.000,36.000,-0.011,-0.208,-0.956,2.119,9.380,2.245,2.373
a,198846,0.000,0.000,36.000,0.020,-0.055,1.731,2.118,9.384,2.235,2.373
a,198850,0.000,0.000,36.000,-0.057,-0.101,1.013,2.118,9.385,2.263,2.065
a,198854,0.000,0.000,36.000,-0.057,-0.071,0.250,2.124,9.386,2.243,2.109
a,198858,0.000,0.000,36.000,-0.072,-0.330,-0.468,2.139,9.389,2.230,2.021
a,198862,0.000,0.000,36.000,-0.087,-0.101,-1.231,2.116,9.390,2.215,2.065
a,198866,0.000,0.000,36.000,-0.072,-0.269,-0.849,2.138,9.380,2.251,2.417
a,198870,0.000,0.000,36.000,0.020,0.051,-0.376,2.119,9.372,2.229,2.065
a,198874,0.000,0.000,36.000,0.096,-0.010,-0.880,2.136,9.371,2.234,2.065
a,198878,0.000,0.000,36.000,-0.072,0.219,0.403,2.143,9.363,2.248,2.065
a,198882,0.000,0.000,36.000,-0.118,-0.284,-0.406,2.133,9.367,2.228,2.505
