HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,SWP_SG,SV_POS,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z
a,123990,0.000,0.000,36.000,0.000,-0.088,-0.157,0.056,1.462,2.066,9.458,2.122
a,123994,0.000,0.000,36.000,0.000,-0.088,-0.112,-0.066,0.302,2.078,9.427,2.106
a,123998,0.000,0.000,36.000,0.000,-0.044,0.117,-0.020,0.576,2.100,9.487,2.106
a,124003,0.000,0.000,36.000,0.000,-0.044,0.011,0.102,1.981,2.101,9.461,2.101
a,124006,0.000,0.000,36.000,0.000,-0.044,0.255,-0.341,-0.569,2.066,9.465,2.106
a,124010,0.000,0.000,36.000,0.000,-0.088,0.041,0.087,-1.057,2.097,9.456,2.122
a,124014,0.000,0.000,36.000,0.000,-0.044,-0.218,0.347,-0.416,2.097,9.451,2.127
a,124018,0.000,0.000,36.000,0.000,0.352,0.163,-0.020,-0.095,2.069,9.444,2.122
a,124023,0.000,0.000,36.000,0.000,0.396,0.148,0.087,-0.370,2.070,9.499,2.112
a,124027,0.000,0.000,36.000,0.000,0.352,0.072,0.270,1.569,2.096,9.442,2.119
a,124031,0.000,0.000,36.000,0.000,0.352,-0.020,-0.295,-0.920,2.082,9.452,2.126
a,124035,0.000,0.000,36.000,0.000,0.352,0.041,0.041,-1.011,2.085,9.461,2.127
a,124039,0.000,0.000,36.000,0.000,0.352,0.163,0.041,0.439,2.088,9.461,2.121
a,124042,0.000,0.075,36.000,0.075,-0.044,0.056,0.133,-0.462,2.109,9.464,2.115
a,124046,0.000,0.151,36.000,0.151,-0.044,-0.127,-0.066,-0.950,2.069,9.462,2.119
a,124050,0.000,0.226,36.000,0.226,0.000,0.011,-0.142,0.134,2.094,9.445,2.102
a,124055,0.000,0.302,36.000,0.302,-0.044,-0.112,-0.050,0.912,2.113,9.443,2.093
a,124058,0.000,0.377,36.000,0.377,-0.044,0.056,0.087,0.088,2.063,9.436,2.125
a,124063,0.000,0.453,36.000,0.453,-0.044,0.163,0.041,0.393,2.094,9.471,2.097
a,124066,0.000,0.529,36.000,0.529,-0.044,-0.310,-0.142,0.088,2.081,9.477,2.103
a,124070,0.000,0.604,36.000,0.604,-0.044,0.026,0.209,1.126,2.078,9.455,2.122
a,124074,0.000,0.680,36.000,0.680,0.352,0.117,-0.066,1.065,2.100,9.459,2.113
a,124078,0.000,0.755,36.000,0.755,-0.088,0.102,-0.173,0.439,2.101,9.470,2.115
a,124083,0.000,0.831,36.000,0.831,0.000,-0.096,0.072,0.134,2.078,9.485,2.137
a,124086,0.000,0.907,36.000,0.907,-0.044,0.041,-0.020,-0.263,2.082,9.442,2.103
a,124090,0.000,0.982,36.000,0.982,0.352,-0.264,0.255,0.637,2.089,9.437,2.100
a,124094,0.000,1.058,36.000,1.058,0.703,0.072,0.087,1.080,2.081,9.433,2.137
a,124098,0.000,1.134,36.000,1.134,-0.044,0.285,-0.142,0.393,2.073,9.513,2.143
a,124102,0.000,1.209,36.000,1.209,0.352,0.362,0.362,-0.309,2.065,9.421,2.131
a,124106,0.000,1.285,36.000,1.285,-0.044,-0.173,-0.066,0.118,2.125,9.531,2.116
a,124110,0.000,1.360,36.000,1.360,-0.044,-0.005,-0.066,0.179,2.073,9.467,2.099
a,124115,0.000,1.436,36.000,1.436,0.396,0.087,0.041,-0.477,2.069,9.470,2.112
a,124118,0.000,1.512,36.000,1.512,0.527,-0.279,0.087,0.011,2.148,9.513,2.103
a,124122,0.000,1.587,36.000,1.587,0.527,-0.066,-0.020,-0.294,2.084,9.522,2.119
a,124127,0.000,1.662,36.000,1.662,0.615,-0.005,0.148,0.302,2.100,9.482,2.143
a,124130,0.000,1.738,36.000,1.738,0.659,-0.050,-0.066,0.027,2.107,9.468,2.081
a,124134,0.000,1.813,36.000,1.813,0.703,-0.050,-0.081,-1.332,2.084,9.443,2.108
a,124138,0.000,1.888,36.000,1.888,0.703,0.194,0.087,-1.408,2.128,9.470,2.127
a,124142,0.000,1.964,36.000,1.964,1.055,-0.050,-0.020,0.225,2.107,9.485,2.096
a,124146,0.000,2.039,36.000,2.039,1.230,0.041,0.209,-0.309,2.058,9.469,2.109
a,124151,0.000,2.114,36.000,2.114,1.318,-0.005,0.270,0.836,2.089,9.455,2.126
a,124155,0.000,2.189,36.000,2.189,1.274,-0.035,-0.341,0.653,2.143,9.499,2.084
a,124158,0.000,2.264,36.000,2.264,1.362,-0.112,0.209,-0.034,2.049,9.515,2.148
a,124162,0.000,2.339,36.000,2.339,1.758,-0.005,0.102,0.622,2.097,9.445,2.113
a,124166,0.000,2.413,36.000,2.413,1.714,-0.050,-0.295,0.347,2.163,9.428,2.119
a,124170,0.000,2.488,36.000,2.488,1.758,-0.112,0.041,0.027,2.051,9.439,2.127
a,124175,0.000,2.562,36.000,2.562,1.318,0.056,0.102,1.080,2.047,9.432,2.106
a,124179,0.000,2.637,36.000,2.637,1.362,-0.188,-0.127,-0.355,2.138,9.430,2.115
a,124183,0.000,2.711,36.000,2.711,1.758,-0.279,-0.112,1.019,2.066,9.473,2.103
a,124187,0.000,2.785,36.000,2.785,1.758,-0.005,0.423,-0.156,2.063,9.493,2.113
a,124190,0.000,2.860,36.000,2.860,1.846,-0.005,0.087,0.408,2.148,9.407,2.103
a,124194,0.000,2.933,36.000,2.933,1.890,0.163,0.148,-0.095,2.070,9.450,2.115
a,124198,0.000,3.007,36.000,3.007,1.890,0.316,0.041,-0.477,2.089,9.499,2.144
a,124203,0.000,3.081,36.000,3.081,2.021,0.056,0.041,0.454,2.089,9.471,2.087
a,124206,0.000,3.155,36.000,3.155,2.417,-0.066,-0.020,-0.645,2.057,9.470,2.127
a,124211,0.000,3.228,36.000,3.228,2.461,0.163,-0.020,0.073,2.091,9.461,2.097
a,124215,0.000,3.301,36.000,3.301,2.461,0.179,-0.157,1.263,2.089,9.442,2.157
a,124218,0.000,3.375,36.000,3.375,2.461,0.148,-0.295,-0.859,2.063,9.462,2.102
a,124222,0.000,3.448,36.000,3.448,2.417,-0.081,0.072,-1.729,2.084,9.470,2.138
a,124226,0.000,3.520,36.000,3.520,2.461,0.056,0.056,0.531,2.089,9.482,2.090
a,124230,0.000,3.593,36.000,3.593,2.065,0.056,-0.234,0.347,2.091,9.461,2.128
a,124234,0.000,3.665,36.000,3.665,2.461,0.056,0.255,-0.034,2.066,9.450,2.102
a,124238,0.000,3.738,36.000,3.738,2.549,0.041,-0.020,-0.676,2.063,9.473,2.128
a,124242,0.000,3.810,36.000,3.810,2.505,0.209,-0.234,0.103,2.103,9.427,2.116
a,124246,0.000,3.882,36.000,3.882,2.593,0.194,-0.127,-0.431,2.101,9.470,2.109
a,124250,0.000,3.954,36.000,3.954,2.812,-0.020,0.087,-1.027,2.094,9.527,2.154
a,124254,0.000,4.025,36.000,4.025,3.120,0.179,0.163,1.324,2.070,9.510,2.132
a,124258,0.000,4.097,36.000,4.097,3.208,-0.203,-0.081,0.302,2.158,9.470,2.119
a,124262,0.000,4.168,36.000,4.168,3.296,-0.112,-0.127,-0.187,2.073,9.485,2.082
a,124267,0.000,4.239,36.000,4.239,3.340,0.163,-0.035,-1.179,2.042,9.430,2.132
a,124270,0.000,4.309,36.000,4.309,3.296,0.011,0.041,0.698,2.128,9.474,2.096
a,124274,0.000,4.380,36.000,4.380,3.252,0.072,0.026,0.088,2.073,9.431,2.087
a,124278,0.000,4.450,36.000,4.450,3.296,0.331,0.240,-0.431,2.023,9.455,2.150
a,124282,0.000,4.520,36.000,4.520,3.296,-0.050,0.148,0.302,2.103,9.482,2.113
a,124286,0.000,4.590,36.000,4.590,3.296,-0.050,-0.020,-0.050,2.125,9.467,2.110
a,124290,0.000,4.660,36.000,4.660,3.340,-0.112,0.148,0.179,2.041,9.427,2.132
