HEADER,TIME_MS,SV_DRV,SV_STR,SV_STD,GY_ROLL,GY_YAW,GY_PITCH,ACC_X,ACC_Y,ACC_Z,SWP_SG,SV_POS
a,55711,0.000,-4.872,36.000,0.264,-0.176,-0.411,2.221,9.446,2.234,-4.872,-0.132
a,55716,0.000,-4.957,36.000,-0.117,-0.909,-1.250,2.345,9.385,2.192,-4.957,-0.088
a,55719,0.000,-5.042,36.000,-0.117,-0.451,-0.014,2.040,9.374,2.231,-5.042,-0.132
a,55723,0.000,-5.126,36.000,0.509,1.183,1.910,1.978,9.246,2.334,-5.126,-0.088
a,55727,0.000,-5.210,36.000,-0.316,-0.161,1.193,2.450,9.412,2.138,-5.210,-0.220
a,55731,0.000,-5.294,36.000,0.005,-0.252,-0.456,2.158,9.310,2.277,-5.294,-0.791
a,55735,0.000,-5.377,36.000,0.097,-0.008,0.628,2.176,9.293,2.207,-5.377,-1.055
a,55740,0.000,-5.459,36.000,-0.652,-0.802,-1.464,2.339,9.454,2.229,-5.459,-1.406
a,55744,0.000,-5.541,36.000,0.203,0.526,-0.533,1.921,9.251,2.301,-5.541,-1.099
a,55747,0.000,-5.623,36.000,0.234,0.297,-0.380,2.264,9.413,2.206,-5.623,-1.055
a,55751,0.000,-5.704,36.000,-0.117,-0.054,0.200,2.319,9.347,2.230,-5.704,-1.099
a,55755,0.000,-5.784,36.000,0.020,-0.023,0.979,2.161,9.321,2.216,-5.784,-1.494
a,55759,0.000,-5.864,36.000,-0.255,-0.435,0.979,2.260,9.389,2.271,-5.864,-1.055
a,55763,0.000,-5.944,36.000,0.020,0.313,1.177,2.073,9.327,2.260,-5.944,-1.099
a,55768,0.000,-6.023,36.000,0.264,0.374,0.612,2.215,9.366,2.258,-6.023,-1.055
a,55772,0.000,-6.101,36.000,-0.209,-0.130,0.261,2.292,9.398,2.223,-6.101,-1.055
a,55775,0.000,-6.179,36.000,-0.224,-0.268,0.414,2.168,9.343,2.218,-6.179,-1.055
a,55780,0.000,-6.257,36.000,-0.148,0.023,-0.181,2.210,9.364,2.265,-6.257,-1.011
a,55783,0.000,-6.333,36.000,0.081,0.038,1.025,2.101,9.373,2.210,-6.333,-1.011
a,55787,0.000,-6.410,36.000,0.005,0.313,0.628,2.198,9.359,2.267,-6.410,-0.967
a,55791,0.000,-6.485,36.000,-0.209,0.038,0.200,2.273,9.414,2.206,-6.485,0.527
a,55795,0.000,-6.560,36.000,-0.224,-0.466,-0.609,2.260,9.446,2.241,-6.560,-1.494
a,55799,0.000,-6.635,36.000,-0.255,-0.130,0.368,2.061,9.373,2.206,-6.635,-1.494
a,55803,0.000,-6.709,36.000,0.341,0.191,-2.548,2.118,9.333,2.277,-6.709,1.143
a,55807,0.000,-6.782,36.000,-0.239,-0.405,-0.502,2.326,9.395,2.213,-6.782,-1.626
a,55811,0.000,-6.855,36.000,-0.194,-0.023,0.979,2.108,9.293,2.271,-6.855,3.076
a,55815,0.000,-6.927,36.000,0.219,0.404,-0.975,2.180,9.295,2.185,-6.927,-2.285
a,55819,0.000,-6.998,36.000,-0.056,-0.726,-0.273,2.406,9.404,2.182,-6.998,-2.417
a,55824,0.000,-7.069,36.000,0.051,-0.176,-0.243,1.985,9.290,2.301,-7.069,-2.461
a,55827,0.000,-7.139,36.000,0.203,0.587,-0.701,2.161,9.352,2.236,-7.139,-2.505
a,55831,0.000,-7.208,36.000,0.066,0.374,1.819,2.260,9.355,2.213,-7.208,-2.461
a,55835,0.000,-7.277,36.000,-0.010,-0.420,-1.098,2.251,9.359,2.248,-7.277,-2.417
a,55839,0.000,-7.345,36.000,-0.331,-0.680,-0.869,2.257,9.382,2.225,-7.345,-2.856
a,55843,0.000,-7.412,36.000,-0.163,-0.008,0.200,2.106,9.336,2.247,-7.412,-2.461
a,55847,0.000,-7.479,36.000,0.264,0.145,0.063,2.139,9.354,2.252,-7.479,-2.549
a,55851,0.000,-7.545,36.000,-0.163,0.084,-0.014,2.277,9.390,2.201,-7.545,-2.812
a,55855,0.000,-7.610,36.000,-0.041,-0.237,0.521,2.235,9.345,2.197,-7.610,-2.505
a,55860,0.000,-7.674,36.000,0.280,-0.558,0.292,2.213,9.380,2.233,-7.674,-2.461
a,55864,0.000,-7.738,36.000,-0.102,0.084,0.368,2.112,9.339,2.241,-7.738,-2.461
a,55867,0.000,-7.801,36.000,0.066,0.420,0.338,2.157,9.305,2.260,-7.801,-2.505
a,55872,0.000,-7.863,36.000,-0.102,0.236,-0.243,2.279,9.384,2.192,-7.863,-2.505
a,55875,0.000,-7.925,36.000,-0.270,-0.298,-0.670,2.241,9.371,2.233,-7.925,-2.197
a,55879,0.000,-7.986,36.000,-0.010,0.099,0.521,2.151,9.336,2.253,-7.986,-2.417
a,55883,0.000,-8.046,36.000,-0.041,0.068,-0.456,2.219,9.464,2.273,-8.046,-2.549
a,55888,0.000,-8.105,36.000,-0.056,0.328,0.460,2.137,9.378,2.213,-8.105,-2.944
a,55892,0.000,-8.163,36.000,0.051,0.206,-0.212,2.217,9.329,2.301,-8.163,-2.900
a,55895,0.000,-8.221,36.000,-0.239,-0.344,-0.563,2.254,9.437,2.174,-8.221,-3.032
a,55899,0.000,-8.278,36.000,0.326,0.206,-0.105,2.164,9.337,2.261,-8.278,-3.076
a,55903,0.000,-8.334,36.000,-0.102,0.221,-0.075,2.186,9.336,2.236,-8.334,-3.076
a,55907,0.000,-8.389,36.000,0.173,0.068,0.261,2.221,9.315,2.233,-8.389,-3.120
a,55912,0.000,-8.444,36.000,-0.117,-0.405,-0.227,2.211,9.336,2.189,-8.444,-3.604
a,55915,0.000,-8.497,36.000,-0.178,-0.130,-0.853,2.205,9.382,2.258,-8.497,-3.560
a,55920,0.000,-8.550,36.000,0.158,0.694,-0.426,2.075,9.298,2.274,-8.550,-3.604
a,55924,0.000,-8.602,36.000,0.158,0.435,0.719,2.186,9.346,2.213,-8.602,-3.164
a,55927,0.000,-8.653,36.000,-0.041,-0.069,0.368,2.313,9.370,2.241,-8.653,-3.604
a,55931,0.000,-8.703,36.000,-0.087,-0.405,1.086,2.167,9.379,2.216,-8.703,-3.560
a,55935,0.000,-8.753,36.000,-0.102,-0.084,-0.456,2.077,9.373,2.309,-8.753,-3.647
a,55939,0.000,-8.801,36.000,-0.041,-0.038,0.032,2.270,9.436,2.225,-8.801,-3.735
a,55943,0.000,-8.849,36.000,-0.270,-0.222,0.628,2.188,9.394,2.163,-8.849,-3.823
a,55947,0.000,-8.896,36.000,0.219,0.328,0.383,2.126,9.333,2.332,-8.896,-3.735
a,55951,0.000,-8.942,36.000,-0.255,0.267,0.796,2.229,9.389,2.192,-8.942,-3.735
a,55955,0.000,-8.987,36.000,0.310,0.206,-0.746,2.192,9.327,2.247,-8.987,-3.735
a,55959,0.000,-9.031,36.000,0.234,-0.084,-0.090,2.199,9.390,2.227,-9.031,-3.735
a,55963,0.000,-9.074,36.000,-0.209,-0.344,0.521,2.179,9.349,2.245,-9.074,-3.735
a,55967,0.000,-9.116,36.000,-0.010,0.068,-1.372,2.118,9.352,2.233,-9.116,-3.779
a,55971,0.000,-9.157,36.000,-0.148,0.068,0.154,2.225,9.364,2.227,-9.157,-3.735
a,55976,0.000,-9.198,36.000,-0.255,-0.145,-0.120,2.239,9.353,2.233,-9.198,-3.779
a,55979,0.000,-9.237,36.000,-0.010,0.252,-0.411,2.168,9.364,2.195,-9.237,-2.153
a,55983,0.000,-9.276,36.000,0.173,-0.222,1.025,2.277,9.331,2.207,-9.276,-3.955
a,55987,0.000,-9.314,36.000,-0.163,-0.619,-0.334,2.194,9.456,2.209,-9.314,-4.307
a,55991,0.000,-9.350,36.000,0.158,0.297,-0.640,2.120,9.363,2.304,-9.350,-4.219
a,55995,0.000,-9.386,36.000,0.051,0.023,-1.067,2.143,9.400,2.192,-9.386,-4.263
a,55999,0.000,-9.421,36.000,0.112,0.511,0.002,2.158,9.357,2.252,-9.421,-4.307
a,56003,0.000,-9.454,36.000,-0.102,-0.359,-0.075,2.338,9.433,2.173,-9.454,-4.395
a,56008,0.000,-9.487,36.000,-0.285,-0.451,-1.265,2.120,9.352,2.253,-9.487,-3.911
a,56012,0.000,-9.519,36.000,0.234,0.221,1.009,2.101,9.347,2.215,-9.519,-4.307
a,56015,0.000,-9.550,36.000,-0.117,0.358,-0.136,2.210,9.358,2.253,-9.550,-4.307
a,56020,0.000,-9.580,36.000,-0.041,0.191,-0.136,2.188,9.339,2.201,-9.580,-4.307
a,56023,0.000,-9.609,36.000,-0.102,-0.145,0.154,2.219,9.391,2.206,-9.609,-4.395
a,56027,0.000,-9.637,36.000,-0.270,-0.741,-1.357,2.334,9.416,2.236,-9.637,-4.351
a,56031,0.000,-9.664,36.000,-0.224,0.053,0.521,1.950,9.347,2.217,-9.664,-4.570
a,56036,0.000,-9.690,36.000,0.616,1.336,0.154,2.085,9.269,2.319,-9.690,-4.526
a,56040,0.000,-9.715,36.000,-0.071,-0.558,-0.777,2.460,9.343,2.137,-9.715,-4.614
